Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.598,0.587,0.625,-1.106,-1.018,-1.409
01/15/1971,0.63,0.637,0.655,-1.107,-1.036,-1.426
01/22/1971,0.667,0.705,0.689,-1.11,-1.052,-1.441
01/29/1971,0.707,0.785,0.728,-1.115,-1.067,-1.454
02/05/1971,0.75,0.868,0.77,-1.122,-1.079,-1.464
02/12/1971,0.793,0.943,0.813,-1.132,-1.088,-1.472
02/19/1971,0.836,1.003,0.856,-1.146,-1.093,-1.477
02/26/1971,0.878,1.041,0.9,-1.163,-1.094,-1.48
03/05/1971,0.921,1.06,0.947,-1.185,-1.091,-1.479
03/12/1971,0.967,1.063,0.998,-1.211,-1.083,-1.476
03/19/1971,1.019,1.06,1.056,-1.243,-1.07,-1.47
03/26/1971,1.078,1.069,1.123,-1.28,-1.052,-1.462
04/02/1971,1.144,1.106,1.199,-1.322,-1.03,-1.451
04/09/1971,1.217,1.186,1.282,-1.369,-1.002,-1.439
04/16/1971,1.291,1.313,1.367,-1.42,-0.971,-1.425
04/23/1971,1.361,1.477,1.449,-1.474,-0.935,-1.41
04/30/1971,1.419,1.657,1.519,-1.53,-0.896,-1.393
05/07/1971,1.458,1.824,1.57,-1.585,-0.855,-1.376
05/14/1971,1.469,1.941,1.592,-1.64,-0.812,-1.359
05/21/1971,1.448,1.978,1.581,-1.692,-0.767,-1.341
05/28/1971,1.396,1.922,1.539,-1.741,-0.722,-1.323
06/04/1971,1.316,1.769,1.469,-1.784,-0.676,-1.304
06/11/1971,1.218,1.528,1.378,-1.821,-0.63,-1.286
06/18/1971,1.117,1.231,1.283,-1.852,-0.585,-1.268
06/25/1971,1.03,0.922,1.201,-1.874,-0.541,-1.25
07/02/1971,0.972,0.649,1.145,-1.887,-0.498,-1.233
07/09/1971,0.96,0.469,1.133,-1.892,-0.457,-1.216
07/16/1971,1.003,0.428,1.172,-1.887,-0.419,-1.199
07/23/1971,1.103,0.552,1.266,-1.874,-0.383,-1.183
07/30/1971,1.255,0.84,1.408,-1.852,-0.35,-1.167
08/06/1971,1.445,1.253,1.585,-1.822,-0.321,-1.152
08/13/1971,1.653,1.728,1.778,-1.786,-0.295,-1.137
08/20/1971,1.856,2.195,1.965,-1.744,-0.273,-1.123
08/27/1971,2.029,2.576,2.123,-1.698,-0.256,-1.11
09/03/1971,2.158,2.827,2.235,-1.65,-0.243,-1.097
09/10/1971,2.227,2.922,2.29,-1.601,-0.234,-1.084
09/17/1971,2.237,2.867,2.287,-1.553,-0.231,-1.072
09/24/1971,2.19,2.688,2.23,-1.509,-0.232,-1.06
10/01/1971,2.098,2.426,2.129,-1.468,-0.238,-1.048
10/08/1971,1.974,2.124,1.998,-1.432,-0.249,-1.037
10/15/1971,1.835,1.832,1.856,-1.403,-0.265,-1.025
