date,directional_bias,directional_bias_score,volatility_potential,volatility_potential_score,directional_volatility_score,leverage_fuel_score,new_oi_addition_score,oi_zone_reactivation_score,oi_anchor_direction_score,estimated_oi_anchor_price,volatility_trigger_score,realized_volatility_regime_score,cascade_activation_score,liquidation_impulse_score,funding_crowding_score,signal_confidence_score,heatmap_open_interest_usd,heatmap_oi_venue_count,heatmap_liquidation_dominance_pct,heatmap_liquidated_interest_long_usd,heatmap_liquidated_interest_short_usd,liquidation_pressure_downside_score,liquidation_pressure_upside_score,liquidation_pressure_net_score,liquidation_wall_downside_distance_bps,liquidation_wall_downside_amount_score,liquidation_wall_upside_distance_bps,liquidation_wall_upside_amount_score,oi_area_downside_distance_bps,oi_area_downside_amount_score,oi_area_upside_distance_bps,oi_area_upside_amount_score,cascade_closeness_amount_score,cascade_closeness_amount_direction_score,cascade_threshold_state,btc_forward_jump_1d_pct,btc_forward_jump_3d_pct,btc_forward_jump_7d_pct,btc_forward_abs_jump_7d_pct,btc_forward_jump_direction,regime
2014-02-11,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-12,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-13,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-14,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-15,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-16,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-17,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-18,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-19,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-20,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-21,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-22,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-23,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-24,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-25,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-26,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-27,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-02-28,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-03-01,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-03-02,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-03-03,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-03-04,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-03-05,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2014-03-06,neutral,0,low,0,0,,,0,0,,,,0,0,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,neutral
